PHMCY_PTY_GID,ADDR_CBSA_CD,ADDR_CBSA_TITLE,ADDR_CITY_NM,ADDR_CNTY_CD,ADDR_CNTY_NM,ADDR_LINE1,ADDR_LINE2,ADDR_ST_ABBR_CD,ADDR_ZIP4_CD,ADDR_ZIP5_CD,ADDR_ZIP9_CD,AFTR_HR_IND,AUDT_DT,BE_ID,BP_SCRN_IND,BRAILLE_LBL_IND,CMPLC_MNTR_IND,CMPND_PHMCY_SRVC_IND,CNTRCT_EXPRN_DT,CNTRCT_MAIL_ORDR_IND,CVS_MAIL_IND,CVS_OWNED_IND,CVS_RTL_IND,CVS_SPCLT_IND,DLVRY_SRVC_CD,DRABL_EQPMNT_CD,DRVTHRU_IND,DZ_SPCLT_IND,E_RX_ENBL_IND,EXTN_HR_IND,FED_TAX_ID,FLU_SHOT_IND,GRP_TYP_CD,HLTH_SCRN_IND,IMMZTN_IND,INFSN_THRPY_IND,MED_REVW_IND,MSTR_GRP_CD,MSTR_GRP_NM,NCPDP_CHAIN_ID,NCPDP_CHAIN_NM,NCPDP_CHAIN_PHONE_NBR,NCPDP_FRANCH_ID,NCPDP_FRANCH_NM,NCPDP_FRANCH_PHONE_NBR,NCPDP_PRVDR_ID,NPI_ID,ONSITE_CLNC_IND,OPN_24_HR_IND,OPN_7_DAY_IND,PHMCY_CLS_CD,PHMCY_DSPNS_DESC,PHMCY_FAX_NBR,PHMCY_NM,PHMCY_PHONE_NBR,PHMCY_SRVC_TYP_CD,PREV_NABP_CD,QL_CHAIN_ID,QL_CHAIN_NM,QL_ENTY_TYP_CD,REC_CHG_TS,RECAP_CHAIN_ID,RECAP_CHAIN_NM,RECAP_CHAIN_PHONE_NBR,REUSE_IND,REUSE_NBR,SPCLT_INT_PHMCY_GRP_NM,SPCLT_PHMCY_IND,SPCLT_PHMCY_TYP_CD,BUS_UNT_NM,PHMCY_SIZING_NM,PHMCY_340B_IND,PHMCY_340B_STUS_CD,DRVD_PHMCY_IND,SPKN_PRNT_LANG_1_TXT,SPKN_PRNT_LANG_2_TXT,SPKN_PRNT_LANG_3_TXT,SPKN_PRNT_LANG_4_TXT,SPKN_PRNT_LANG_5_TXT,SRC_CD,SRC_CHG_TS,STORE_ID,STUS_CD,RECAP_STUS_CD,UNIVERSAL_MAIL_IND,VISN_SRVC_IND,WRTN_MTRL_IND,WRTN_PRNT_LANG_1_TXT,WRTN_PRNT_LANG_2_TXT,WRTN_PRNT_LANG_3_TXT,WRTN_PRNT_LANG_4_TXT,WRTN_PRNT_LANG_5_TXT
1546542205, , ,CYNTHIANA,97,HARRISON COUNTY,127 KY HWY 32 W, ,KY, ,41031,41031,N,1800-01-01 00:00:00.000,ADJUDICATI,N,,N,N,00:00.0,N,N,N,N,N,F,N,N,,Y,,332637616,N,A,,,,N,A904,ELEVATE, , , , , , ,1841635,1.01004E+11,,N,N,INDPNDNT, ,8596581755,HMH CLINIC PHARMACY SOUTH,8592982424,CRP,0,959,JAFFE DRUG STORES INC,1,26:19.0,A904,ELEVATE PROVIDER NETWORK, ,N,0,UNDEFINED,N, ,UNDEFINED,UNDEFINED,Y,38,N, , , , , ,R         ,00:00.0, ,A         ,A         ,N,,N,ENGLISH, , , , 
1331955513,31100,"LOS ANGELES-LONG BEACH-SANTA ANA, CA",STANTON,59,ORANGE COUNTY,12505 BEACH BLVD SUITE A2, ,CA, ,90680,90680,Y,1800-01-01 00:00:00.000,ADJUDICATI,Y,,Y,N,00:00.0,N,N,N,N,N,F,L,N,,Y,,832086974,Y,I,,,,Y,0,INDEPENDENTS, , , , , , ,5669950,1.01265E+11,,N,N,INDPNDNT, ,7142489115,VN CARE PHARMACY,7145849599,CRP,0,0,INDEPENDENTS,1,30:48.0,0, , ,N,0,UNDEFINED,N, ,UNDEFINED,UNDEFINED,N,36,N,VIETNAMESE,SPANISH, , , ,R         ,00:00.0, ,A         ,A         ,N,,Y,SPANISH,VIETNAMESE,ENGLISH, , 
143568, , ,TULIA,437,SWISHER COUNTY,105 SW 2ND ST, ,TX, ,79088,79088,N,00:00.0,ADJUDICATI,Y,,Y,N,00:00.0,N,N,N,N,N,F,N,Y,,Y,,300438382,,I,,,,Y,0,INDEPENDENTS, , , , , , ,4532809,1.01437E+11,,N,N,INDPNDNT, ,8069953278,MOORE THAN MEDICINE,8069953551,CRP,453280, , ,,09:33.0,0, , ,N,0,OTHER,N, ,RETAIL,INDEPENDENTS,Y,37,N,SPANISH, , , , ,R         ,00:00.0, ,A         ,A         ,N,,Y,ENGLISH,SPANISH, , , 
1492681172,23540,"GAINESVILLE, FL",HAWTHORNE,1,ALACHUA COUNTY,6925 SE US HIGHWAY 301, ,FL,3966,32640,32640,Y,1800-01-01 00:00:00.000,ADJUDICATI,Y,,Y,Y,00:00.0,N,N,N,N,N,F,L,N,,Y,,881663663,,I,,,,Y,0,INDEPENDENTS, , , , , , ,5754278,1.01347E+11,,N,N,INDPNDNT, ,3523254755,JRA HEALTH LLC,3524431684,HITP,0,0,INDEPENDENTS,1,40:15.0,0, , ,N,0,UNDEFINED,N, ,UNDEFINED,UNDEFINED,N,36,N,SPANISH, , , , ,R         ,00:00.0, ,A         ,A         ,N,,Y,ENGLISH,SPANISH, , , 
14854,16740,"CHARLOTTE-GASTONIA-CONCORD, NC-SC",CHARLOTTE,119,MECKLENBURG COUNTY,1701 ABBEY PLACE,,NC,    ,28209,28209,Y,1800-01-01 00:00:00.000,3416054,N,,Y,N,00:00.0,N,N,N,N,N,F,L,N,,Y,,261451047,N,I,,,,Y,0,INDEPENDENTS, , , , , , ,3416054,1.01751E+11,,N,N,INDPNDNT, ,7045618580,HEALTHY AT HOME CMC HOME INF &,7045125333,HITP,0,0,INDEPENDENTS,1,40:15.0,0, , ,N,0,UNDEFINED,N, ,UNDEFINED,UNDEFINED,Y,38,N, , , , , ,R         ,00:00.0, ,A         ,A         ,N,,Y,ENGLISH, , , , 
1218968636,29820,"LAS VEGAS-PARADISE, NV",LAS VEGAS,3,CLARK COUNTY,6730 N HUALAPAI WAY, ,NV,1358,89149,89149-1358,N,1800-01-01 00:00:00.000,ADJUDICATI,Y,,Y,N,00:00.0,N,N,N,N,N,L,L,N,,Y,,820184434,Y,C,,,,Y,6929,ALBERTSONS,3,ABS LLC SO CAL AND IMW,2083953954, , , ,2995198,1.01327E+11,,N,Y,CHN,CHAIN RETAIL,7026704961,SAV-ON PHARMACY,7026704960,CRP,0,3,ALBERTSON'S INC,1,30:48.0,2029,ALBERTSONS LLC, ,N,0,ALBERTSONS,N, ,RETAIL,CHAIN RETAIL,N,36,N, , , , , ,R         ,00:00.0,3489,A         ,A         ,N,,Y,ENGLISH, , , , 
7727084,29460,"LAKELAND, FL",HAINES CITY,105,POLK COUNTY,280 PATTERSON RD STE 2, ,FL,6261,33844,33844-6261,,1800-01-01 00:00:00.000, ,,,,N,00:00.0,N,N,N,N,N,N,N,N,,Y,,264357181,,,,,,,,, , , , , , ,1054585,1.01963E+11,,N,,INDPNDNT, ,8133886871,HEART OF FLORIDA PHARMACY,8139820736,CRP,0, , ,,16:06.0, , , ,Y,1,UNDEFINED,N, ,UNDEFINED,UNDEFINED,U,99,N, , , , , ,NCPDP     ,00:00.0,,I         ,          ,N,,,HINDI, , , , 
1370445411,35620,"NEW YORK-NORTHERN NEW JERSEY-LONG ISLAND, NY-NJ-PA",FLUSHING,81,QUEENS COUNTY,19406 NORTHERN BLVD, ,NY,3033,11358,11358-3033,N,1800-01-01 00:00:00.000,ADJUDICATI,Y,,Y,Y,00:00.0,N,N,N,N,N,F,L,N,,Y,,844986741,,A,,,,Y,A603,LEADER DRUG STORE INC, , , , , , ,5831400,1.01842E+11,,N,N,INDPNDNT, ,3475423838,UNION PHARMACY,3474381400,CRP,0,0,INDEPENDENTS,1,05:00.0,A603,LEADER DRUG STORE INC, ,N,0,UNDEFINED,N, ,UNDEFINED,UNDEFINED,N,36,N,KOREAN, , , , ,R         ,00:00.0, ,A         ,A         ,N,,Y,KOREAN,ENGLISH, , , 
1101171303,41740,"SAN DIEGO-CARLSBAD-SAN MARCOS, CA",SAN DIEGO,73,SAN DIEGO COUNTY,10119 CARROLL CANYON RD,,CA,    ,92131,92131,,1800-01-01 00:00:00.000,5601427,,,,,00:00.0,N,N,N,N,N,,,,,,, ,,,,,,,,, , , , , , ,5601427,1.01669E+11,,,,, , ,"LIFECARE SOLUTIONS, INC.", ,,0,0,INDEPENDENTS,1,30:48.0, , , ,Y,1,UNDEFINED,N, ,UNDEFINED,UNDEFINED,U,99,N, , , , , ,R         ,00:00.0, ,A         ,          ,N,,, , , , , 
109697,30780,"LITTLE ROCK-NORTH LITTLE ROCK-CONWAY, AR",JACKSONVILLE,119,PULASKI COUNTY,819 W MAIN ST,,AR,4435,72076,72076-4435,N,00:00.0,ADJUDICATI,Y,,Y,,00:00.0,N,N,N,N,N,L,L,Y,,Y,,361924025,Y,C,,,,Y,1002,WALGREENS,226,WALGREENS DRUG STORE,2177092351, , , ,422030,1.01791E+11,,N,Y,CHN,CHAIN RETAIL,5012410228,WALGREENS,5012410225,CRP,0,226,WALGREENS CORPORATION,1,40:15.0,1002,WALGREENS CORPORATION, ,N,0,WALGREENS,N, ,RETAIL,CHAIN RETAIL,N,36,N, , , , , ,R         ,00:00.0,2364,A         ,A         ,N,,Y,ENGLISH, , , , 
