GPI_CD,Related_BN,Related_SCDC,Related_DF,NDC,BRND_GNRC_CD,DRUG_BRND_NM,GNRC_NM,MDDB_DRUG_LBL_NM,DRUG_STRGH_NBR,DRUG_STRGH_NM,DRUG_STRGH_UNT_CD,DRUG_LBL_NM,DSG_FORM_ABBR_NM,GPI_CLS_NM,Drug_SubBrnd_NM,VACCINE_YN
1.10001E+12,NULL,NULL,INJECTABLE SOLUTION,44567031201,GNRC,PENICILLIN,PENICILLIN G POTASSIUM,PENICILLN GK INJ 20MU,20000000,20MU,NULL,PENICILLN GK INJ 20MU,INJ,NATURAL PENICILLINS,PENICILLIN G POTASSIUM,N
1.10001E+12,NULL,NULL,INJECTION,338102341,GNRC,PENICILLIN,PENICILLIN G POT IN DEXTROSE,PEN GK/DEXTR INJ 40000/ML,0,40000/ML,NULL,PEN GK/DEXTR INJ 40000/ML,INJ,NATURAL PENICILLINS,PENICILLIN G POTASSIUM IN,N
1.10001E+12,NULL,NULL,INJECTION,338102541,GNRC,PENICILLIN,PENICILLIN G POT IN DEXTROSE,PEN GK/DEXTR INJ 60000/ML,0,60000/ML,NULL,PEN GK/DEXTR INJ 60000/ML,INJ,NATURAL PENICILLINS,PENICILLIN G POTASSIUM IN,N
1.10001E+12,NULL,NULL,INJECTABLE SOLUTION,781615395,GNRC,PENICILLIN,PENICILLIN G SODIUM,PEN G SODIUM INJ 5000000,5000000,5000000,NULL,PEN G SODIUM INJ 5000000,INJ,NATURAL PENICILLINS,PENICILLIN G SODIUM,N
0110002000E610,BICILLIN L-A,NULL,PREFILLED SYRINGE,60793070010,BRND,BICILLIN,PENICILLIN G BENZATHINE,BICILLIN L-A INJ 600000,600000,600000,NULL,BICILLIN L-A INJ 600000,INJ,NATURAL PENICILLINS,BICILLIN L-A,N
0110002000E620,BICILLIN L-A,NULL,PREFILLED SYRINGE,60793070210,BRND,BICILLIN,PENICILLIN G BENZATHINE,BICILLIN L-A INJ 2400000,2400000,2400000,NULL,BICILLIN L-A INJ 2400000,INJ,NATURAL PENICILLINS,BICILLIN L-A,N
0110002000E630,BICILLIN L-A,NULL,PREFILLED SYRINGE,60793070110,BRND,BICILLIN,PENICILLIN G BENZATHINE,BICILLIN L-A INJ 1200000,1200000,1200000,NULL,BICILLIN L-A INJ 1200000,INJ,NATURAL PENICILLINS,BICILLIN L-A,N
1.10004E+12,NULL,NULL,ORAL TABLET,57237004001,GNRC,PENICILLIN,PENICILLIN V POTASSIUM,PENICILLN VK TAB 250MG,250,250MG,NULL,PENICILLN VK TAB 250MG,TAB,NATURAL PENICILLINS,PENICILLIN V POTASSIUM,N
1.10004E+12,NULL,NULL,ORAL TABLET,57237004105,GNRC,PENICILLIN,PENICILLIN V POTASSIUM,PENICILLN VK TAB 500MG,500,500MG,NULL,PENICILLN VK TAB 500MG,TAB,NATURAL PENICILLINS,PENICILLIN V POTASSIUM,N
1.10004E+12,NULL,NULL,ORAL SOLUTION,93412573,GNRC,PENICILLIN,PENICILLIN V POTASSIUM,PENICILLN VK SOL 125/5ML,125,125/5ML,NULL,PENICILLN VK SOL 125/5ML,SOL,NATURAL PENICILLINS,PENICILLIN V POTASSIUM,N
