Zip_Code,Multi_County_Zip_Code,State,County,County_FIPS,State_County,City,Region,Market,Territory,MA_Status,Brand,OSB,SNP,SNP_Only,ConnectPlus,ConnectPlus_Only,JV_InnovationHealth,JV_AllinaHealth
06404,N,CT,Fairfield,09001,CT Fairfield,Botsford,,New England,Northeast,Current,Aetna,N,Y,N,N,N,N,N
06440,N,CT,Fairfield,09001,CT Fairfield,Hawleyville,,New England,Northeast,Current,Aetna,N,Y,N,N,N,N,N
06468,N,CT,Fairfield,09001,CT Fairfield,Monroe,,New England,Northeast,Current,Aetna,N,Y,N,N,N,N,N
06470,N,CT,Fairfield,09001,CT Fairfield,Newtown,,New England,Northeast,Current,Aetna,N,Y,N,N,N,N,N
06482,N,CT,Fairfield,09001,CT Fairfield,Sandy Hook,,New England,Northeast,Current,Aetna,N,Y,N,N,N,N,N
06484,N,CT,Fairfield,09001,CT Fairfield,Shelton,,New England,Northeast,Current,Aetna,N,Y,N,N,N,N,N
06491,N,CT,Fairfield,09001,CT Fairfield,Stevenson,,New England,Northeast,Current,Aetna,N,Y,N,N,N,N,N
06601,N,CT,Fairfield,09001,CT Fairfield,Bridgeport,,New England,Northeast,Current,Aetna,N,Y,N,N,N,N,N
06602,N,CT,Fairfield,09001,CT Fairfield,Bridgeport,,New England,Northeast,Current,Aetna,N,Y,N,N,N,N,N
06604,N,CT,Fairfield,09001,CT Fairfield,Bridgeport,,New England,Northeast,Current,Aetna,N,Y,N,N,N,N,N
06605,N,CT,Fairfield,09001,CT Fairfield,Bridgeport,,New England,Northeast,Current,Aetna,N,Y,N,N,N,N,N
06606,N,CT,Fairfield,09001,CT Fairfield,Bridgeport,,New England,Northeast,Current,Aetna,N,Y,N,N,N,N,N
06607,N,CT,Fairfield,09001,CT Fairfield,Bridgeport,,New England,Northeast,Current,Aetna,N,Y,N,N,N,N,N
06608,N,CT,Fairfield,09001,CT Fairfield,Bridgeport,,New England,Northeast,Current,Aetna,N,Y,N,N,N,N,N
06610,N,CT,Fairfield,09001,CT Fairfield,Bridgeport,,New England,Northeast,Current,Aetna,N,Y,N,N,N,N,N
06611,N,CT,Fairfield,09001,CT Fairfield,Trumbull,,New England,Northeast,Current,Aetna,N,Y,N,N,N,N,N
06612,N,CT,Fairfield,09001,CT Fairfield,Easton,,New England,Northeast,Current,Aetna,N,Y,N,N,N,N,N
06614,N,CT,Fairfield,09001,CT Fairfield,Stratford,,New England,Northeast,Current,Aetna,N,Y,N,N,N,N,N
06615,N,CT,Fairfield,09001,CT Fairfield,Stratford,,New England,Northeast,Current,Aetna,N,Y,N,N,N,N,N
06673,N,CT,Fairfield,09001,CT Fairfield,Bridgeport,,New England,Northeast,Current,Aetna,N,Y,N,N,N,N,N
06699,N,CT,Fairfield,09001,CT Fairfield,Bridgeport,,New England,Northeast,Current,Aetna,N,Y,N,N,N,N,N
06784,Y,CT,Fairfield,09001,CT Fairfield,Sherman,,New England,Northeast,Current,Aetna,N,Y,N,N,N,N,N
06801,N,CT,Fairfield,09001,CT Fairfield,Bethel,,New England,Northeast,Current,Aetna,N,Y,N,N,N,N,N
06804,N,CT,Fairfield,09001,CT Fairfield,Brookfield,,New England,Northeast,Current,Aetna,N,Y,N,N,N,N,N
00734,N,PR,Ponce,72113,PR Ponce,Ponce,,Other,Other,Whitespace,Whitespace,N,N,N,N,N,N,N
00735,N,PR,Ceiba,72037,PR Ceiba,Ceiba,,Other,Other,Whitespace,Whitespace,N,N,N,N,N,N,N
00736,N,PR,Cayey,72035,PR Cayey,Cayey,,Other,Other,Whitespace,Whitespace,N,N,N,N,N,N,N
00737,N,PR,Cayey,72035,PR Cayey,Cayey,,Other,Other,Whitespace,Whitespace,N,N,N,N,N,N,N
00738,N,PR,Fajardo,72053,PR Fajardo,Fajardo,,Other,Other,Whitespace,Whitespace,N,N,N,N,N,N,N
00739,N,PR,Cidra,72041,PR Cidra,Cidra,,Other,Other,Whitespace,Whitespace,N,N,N,N,N,N,N
00740,N,PR,Fajardo,72053,PR Fajardo,Puerto Real,,Other,Other,Whitespace,Whitespace,N,N,N,N,N,N,N
00741,N,PR,Humacao,72069,PR Humacao,Punta Santiago,,Other,Other,Whitespace,Whitespace,N,N,N,N,N,N,N
00742,N,PR,Ceiba,72037,PR Ceiba,Roosevelt Roads,,Other,Other,Whitespace,Whitespace,N,N,N,N,N,N,N
00744,N,PR,Naguabo,72103,PR Naguabo,Rio Blanco,,Other,Other,Whitespace,Whitespace,N,N,N,N,N,N,N
00745,Y,PR,Canovanas,72029,PR Canovanas,Rio Grande,,Other,Other,Whitespace,Whitespace,N,N,N,N,N,N,N
00745,Y,PR,Humacao,72069,PR Humacao,Rio Grande,,Other,Other,Whitespace,Whitespace,N,N,N,N,N,N,N
00745,Y,PR,Rio Grande,72119,PR Rio Grande,Rio Grande,,Other,Other,Whitespace,Whitespace,N,N,N,N,N,N,N
00751,N,PR,Salinas,72123,PR Salinas,Salinas,,Other,Other,Whitespace,Whitespace,N,N,N,N,N,N,N
00754,N,PR,San Lorenzo,72129,PR San Lorenzo,San Lorenzo,,Other,Other,Whitespace,Whitespace,N,N,N,N,N,N,N
00757,N,PR,Santa Isabel,72133,PR Santa Isabel,Santa Isabel,,Other,Other,Whitespace,Whitespace,N,N,N,N,N,N,N
