MAPD_PK_BenefitID,Contract_Year,Contract_Number,PBP,Category,CategoryData,Insert_DTS,Update_DTS,Insert_User_ID,UPDATE_User_ID,IsDeleted,CategoryGrp,CategoryOrder,FK_PlanID
BDBA1887-7763-4189-B091-00007FF34BDB,2026,H2663,25,Imaging,In-Network  Xray: $0  CT Scans: $170  Diagnostic Radiology other than CT Scans: $170  Diagnostic Radiology Mammogram: $0,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Diagnostic/Lab,5,DE9916B0-235A-445D-8C77-6C7063EE8D10
27E60709-9394-4A42-95D1-00095B9C89E9,2026,H4523,27,OTC,"CVS Over-the-Counter (OTC) Wallet with a $30 quarterly benefit amount (allowance) on the Extra Benefits Card to help pay for approved OTC health and wellness products like first aid supplies, cold and allergy medicine, pain relievers, and more. Approved products can be purchased in-store at participating CVS retail locations (excluding locations inside other stores), and online or by phone through CVS OTC Health Solutions.",54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Extra Benefits,17,519BD3F2-EA6C-4496-84A7-654653CD7AA7
81E73184-1AF2-4201-B737-000E90D06D7C,2026,H3152,82,Chiropractic Routine Services,,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Extra Benefits,17,A7E2B6E1-9061-461B-B085-ACAEC607CC5B
1E13EADC-25B7-4AF7-A5B4-000F98E12E50,2026,H4523,34,Annual Prescription Deductible,$615 ,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Prescription Drug Coverage,25,E774A538-3989-48A4-93F2-FE8BC43BFBE1
8BE22826-A676-4007-9CD6-0010F6155480,2026,H7149,1,Chiropractic Routine Services,,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Extra Benefits,17,311F2CA8-313A-4BF5-A6A2-53D942843E87
4CCFBC93-D610-4EC2-ABBC-001263BA3EA4,2026,H3931,100,Dental Coverage,"In-Network  Preventive dental services: $0 for oral exams $0 for cleanings $0 for x-rays  Comprehensive dental services: 20%-50% for restorative services 20% for endodontic services 20%-50% for periodontic services 50% for removeable prosthodontics 50% for fixed prosthodontics 20% - 50% for oral and maxillofacial surgery 20% - 50% for adjunctive services  Out-of-Network  Preventive dental services: 50% for oral exams 50% for cleanings 50% for x-rays  Comprehensive dental services: 50% - 70% for restorative services 50% for endodontic services 50% - 70% for periodontic services 70% for removeable prosthodontics 70% for fixed prosthodontics 50% - 70% for oral and maxillofacial surgery 50% - 70% for adjunctive services  $1,000 benefit amount (allowance) every year in and out-of-network for covered comprehensive dental services. Frequencies and medical necessity requirements vary by covered dental service. Covered preventive dental services do not count towards your annual benefit amount. See EOC for additional details on exclusions and limitations.",54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Dental,9,2F763307-93CB-4163-84D1-39DCCE52F2E0
8D47FC1E-A3C5-43B5-9325-0013FAE26023,2026,S5601,48,Limited Network,,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Plan Information,1,8F91B935-6244-4AB9-B7AF-29F4D88D8EF5
9FDE2374-42C8-4F6E-98AE-0015CCB3565E,2026,H9431,14,Home Health Care,In-Network $0  Out-of-Network 40%,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Home Health Care,14,CB97E51A-228E-46F9-BD28-10DCFAB2A09F
17395A11-CCAC-4655-A931-001A97D91771,2026,H1609,88,Eyewear Coverage,In-Network  Eye Exams: 0% for Medicare-covered eye exams $0 for non-Medicare covered eye exams Maximum one non-Medicare covered routine eye exam every calendar year with an iCare provider  Eyewear: $0 for Medicare-covered prescription eyewear $0 for Contacts $0 for Upgrades $0 for Eyeglasses  Up to two pairs every year from a select eyewear collection or $300 annual benefit amount (allowance) for non-Medicare covered prescription eyewear.,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Vision,11,741215AC-A864-43E0-ADED-042B4BCB7223
4EADC354-BBAC-4B06-A70A-001B6B8C4B38,2026,H5521,15,Eyewear Coverage,In-Network  Eye Exams: $0 for Diabetic eye exams $50 for all other Medicare-covered eye exams $0 for non-Medicare covered eye exams Maximum one non-Medicare covered routine eye exam every calendar year in or out-of-network with an EyeMed provider  Eyewear: $0 for Medicare-covered prescription eyewear $0 for Contacts $0 for Eyeglasses $0 for Eyeglass Frames $0 for Eyeglass Lenses $0 for Upgrades  Out-of-Network  Eye Exams: $60 for Medicare-covered eye exams $0 for non-Medicare covered eye exams Maximum one non-Medicare covered routine eye exam every calendar year in or out-of-network (out of network covered up to $50)  Eyewear: 50% for Medicare-covered prescription eyewear $0 for Contacts $0 for Eyeglass Frames $0 for Eyeglass Lenses $0 for Eyeglass Lenses and Frames $0 for Upgrades  $200 annual benefit amount (allowance) for non-Medicare covered prescription eyewear.,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Vision,11,C71D3F30-2FEB-42D9-9E34-2C921670660B
