PK_PlanID,Contract_Year,Contract_Number,PBP,CP,Plan_Origin,Plan_Name,Product,Plan_Type,Commissionable,Plan_Status,Market,Legal_Entity,Marketing_Name,Insert_DTS,Update_DTS,Insert_User_ID,UPDATE_User_ID,IsDeleted
178BB6D1-ED6B-4ACF-8DCC-0003240AC8DD,2026,H1692,7,H1692007,AET,Aetna Medicare Signature (HMO),MAPD,HMO,N,Renewal,Keystone,"COVENTRY HEALTH CARE OF WEST VIRGINIA, INC.",Aetna Medicare,35:34.4,35:34.4,AETH\A846534,AETH\A846534,0
A1D3310F-E3D6-49DA-B807-000F8F22C775,2022,H5521,263,H5521263,AET,Aetna Medicare Value (PPO),MAPD,PPO,Commissionable,Renewal,Keystone,AETNA LIFE INSURANCE COMPANY,Aetna Medicare,54:53.5,54:53.5,AETH\A393668,AETH\A393668,NULL
DCF5EFD0-B677-4202-B3A4-001837A3F6E4,2024,H3288,2,H3288002,AET,Aetna Medicare Value Plus (PPO),MAPD,PPO,Y,Renewal,South Central,AETNA HEALTH AND LIFE INSURANCE COMPANY,Aetna Medicare,39:13.5,39:13.5,AETH\A846534,AETH\A846534,0
C8DCCA26-2251-477A-AF64-002375E321B0,2022,H9431,11,H9431011,AET,Aetna Medicare Explorer Plan (PPO),MAPD,PPO,Commissionable,Renewal,New England,FIRST HEALTH LIFE & HEALTH INSURANCE COMPANY,Aetna Medicare,54:53.5,54:53.5,AETH\A393668,AETH\A393668,NULL
C6DD67A7-4010-4213-AD61-0024C6E06A22,2023,H5521,284,H5521284,AET,Aetna Medicare Premier (PPO),MAPD,PPO,Commissionable,Renewal,Great Lakes,AETNA LIFE INSURANCE COMPANY,Aetna Medicare,25:16.0,25:16.0,AETH\A393668,AETH\A393668,0
C067E678-36BC-486C-9D25-0028AB5E63AA,2026,H5521,194,H5521194,AET,Aetna Medicare Enhanced (PPO),MAPD,PPO,Y,Renewal,Great Lakes,AETNA LIFE INSURANCE COMPANY,Aetna Medicare,35:34.4,35:34.4,AETH\A846534,AETH\A846534,0
CD64CB8B-4698-451C-8C9B-002DC61A7313,2023,H1609,35,H1609035,AET,Aetna Medicare Select (HMO),MAPD,HMO,Commissionable,Renewal,Florida,AETNA HEALTH INC. (FL),Aetna Medicare,25:16.0,25:16.0,AETH\A393668,AETH\A393668,0
10F7FD0A-49E2-4225-BE65-003093307801,2025,H2293,3,H2293003,AET,Aetna Medicare Dual Signature Select (PPO D-SNP),MAPD,DSNP,Y,Renewal,Georgia/Gulf States,SILVERSCRIPT INSURANCE COMPANY,Aetna Medicare,54:24.0,54:24.0,AETH\A846534,AETH\A846534,0
098DCFD6-2516-4A80-B24E-0034284D3E50,2024,H3288,17,H3288017,AET,Aetna Medicare Value Plus (PPO),MAPD,PPO,Y,Renewal,South Central,AETNA HEALTH AND LIFE INSURANCE COMPANY,Aetna Medicare,39:13.5,39:13.5,AETH\A846534,AETH\A846534,0
21ABC385-AA23-4D96-8740-0037083BAE53,2025,H5521,37,H5521037,AET,Aetna Medicare Explorer Premier (PPO),MAPD,PPO,Y,Renewal,New Jersey,AETNA LIFE INSURANCE COMPANY,Aetna Medicare,54:24.0,54:24.0,AETH\A846534,AETH\A846534,0
05EDE062-A3F7-4EE5-9E62-003B87051380,2025,H3288,1,H3288001,AET,Aetna Medicare Value Plus (PPO),MAPD,PPO,Y,Renewal,South Central,AETNA HEALTH AND LIFE INSURANCE COMPANY,Aetna Medicare,54:24.0,54:24.0,AETH\A846534,AETH\A846534,0
A4CB51D3-3C73-4962-85EC-004315BD1C0D,2023,H3931,102,H3931102,AET,Aetna Medicare Premier Plus (HMO),MAPD,HMO,Commissionable,Renewal,Keystone,AETNA HEALTH INC. (PA),Aetna Medicare,25:16.0,25:16.0,AETH\A393668,AETH\A393668,0
4A1F992B-26A8-4749-BFA2-0053700B5DC3,2025,H3312,82,H3312082,AET,Aetna Medicare Value (HMO),MAPD,HMO,Y,New Plan,New York,AETNA HEALTH INC. (NY),Aetna Medicare,54:24.0,54:24.0,AETH\A846534,AETH\A846534,0
4481A7A2-24CA-495A-8033-0054C291B86D,2023,H1609,63,H1609063,AET,Aetna Medicare Select (HMO),MAPD,HMO,Commissionable,New Plan,Florida,AETNA HEALTH INC. (FL),Aetna Medicare,25:16.0,25:16.0,AETH\A393668,AETH\A393668,0
9B3F9119-5507-47C6-80D4-005EC34C33AC,2021,H3931,98,H3931098,AET,Aetna Medicare Select Plan (HMO),MAPD,HMO,Commissionable,Renewal,Capitol,AETNA HEALTH INC. (PA),Aetna Medicare,15:22.2,15:22.2,AETH\N270372,AETH\N270372,NULL
C24D567B-9D6A-44CB-A391-006C2F615588,2022,H3931,118,H3931118,AET,Aetna Medicare Value Plan (HMO),MAPD,HMO,Commissionable,Renewal,Ohio/Kentucky,AETNA HEALTH INC. (PA),Aetna Medicare,54:53.5,54:53.5,AETH\A393668,AETH\A393668,NULL
4E94381F-EC76-4664-8297-006DC4493586,2026,H1609,82,H1609082,AET,Aetna Medicare Chronic Care (HMO C-SNP),MAPD,CSNP,Y,New Plan,Florida,AETNA HEALTH INC. (FL),Aetna Medicare,35:34.4,35:34.4,AETH\A846534,AETH\A846534,0
6D7F26B0-2BDB-4BE0-96E8-00775E84639E,2021,H5521,170,H5521170,AET,Aetna Medicare Premier Plus Plan (PPO),MAPD,PPO,Commissionable,Renewal,Mid South,AETNA LIFE INSURANCE COMPANY,Aetna Medicare,15:22.2,15:22.2,AETH\N270372,AETH\N270372,NULL
2E6F57AD-6994-496E-A934-007FBCA3BC2E,2022,H3288,24,H3288024,AET,Aetna Medicare Freedom Plan (PPO),MAPD,PPO,Commissionable,Renewal,Georgia/Gulf States,AETNA HEALTH AND LIFE INSURANCE COMPANY,Aetna Medicare,54:53.5,54:53.5,AETH\A393668,AETH\A393668,NULL
C06C0B71-9F2E-4913-A936-009052034A4B,2023,H5521,363,H5521363,AET,Aetna Medicare Elite Plan (PPO),MAPD,PPO,Commissionable,New Plan,Arizona,AETNA LIFE INSURANCE COMPANY,Aetna Medicare,25:16.0,25:16.0,AETH\A393668,AETH\A393668,0
73891356-307A-4A0A-AA33-009619D3F8AA,2021,H5521,223,H5521223,AET,Aetna Medicare Value (PPO),MAPD,PPO,Commissionable,Renewal,Great Lakes,AETNA LIFE INSURANCE COMPANY,Aetna Medicare,15:22.2,15:22.2,AETH\N270372,AETH\N270372,NULL
97C8AFCB-7020-4395-8B23-00C43CA6E6B7,2025,H2663,38,H2663038,AET,Aetna Medicare Premier (HMO),MAPD,HMO,Y,Renewal,Heartland,"COVENTRY HEALTH CARE OF MISSOURI, INC.",Aetna Medicare,54:24.0,54:24.0,AETH\A846534,AETH\A846534,0
5FA51A48-429D-4824-8EAB-00C4A3F44CA3,2024,H5521,470,H5521470,AET,Aetna Medicare Value Plus (PPO),MAPD,PPO,Y,New Plan,Georgia/Gulf States,AETNA LIFE INSURANCE COMPANY,Aetna Medicare,39:13.5,39:13.5,AETH\A846534,AETH\A846534,0
5633D15B-D26B-4D29-9106-00E6CF6BC0E8,2022,H3748,9,H3748009,AET,Aetna Medicare Elite Plan (HMO-POS),MAPD,POS,Commissionable,Renewal,Northwest,"AETNA BETTER HEALTH OF WASHINGTON, INC.",Aetna Medicare,54:53.5,54:53.5,AETH\A393668,AETH\A393668,NULL
EF6CFDEB-B17E-4B8F-B298-00FC37BE52EA,2022,H2056,5,H2056005,AET,Aetna Medicare Elite Plan (HMO-POS),MAPD,POS,Commissionable,Renewal,Northwest,AETNA BETTER HEALTH OF MICHIGAN INC.,Aetna Medicare,54:53.5,54:53.5,AETH\A393668,AETH\A393668,NULL
C5D88B5E-C2E8-4C14-8372-010C4E9F96A9,2022,S5601,196,S5601196,SSI,SilverScript SmartRx (PDP),PDP,PDP,Commissionable,Renewal,PDP,SILVERSCRIPT INSURANCE COMPANY,Aetna Medicare,54:53.5,54:53.5,AETH\A393668,AETH\A393668,NULL
874C10EE-4C5E-4A7D-86BE-011EED85EC5E,2024,H1609,60,H1609060,AET,Aetna Medicare Credit (HMO),MAPD,HMO,Y,Renewal,Florida,AETNA HEALTH INC. (FL),Aetna Medicare,39:13.5,39:13.5,AETH\A846534,AETH\A846534,0
1E06CEAC-2CBF-4C85-8308-0122A32027C3,2026,H2663,99,H2663099,AET,Aetna Medicare Chronic Care Total (HMO C-SNP),MAPD,CSNP,Y,New Plan,Heartland,"COVENTRY HEALTH CARE OF MISSOURI, INC.",Aetna Medicare,35:34.4,35:34.4,AETH\A846534,AETH\A846534,0
7F97C145-7165-4DF6-B3C9-013D7DE6961E,2026,H5521,464,H5521464,AET,Aetna Medicare Dual Extra Care (PPO D-SNP),MAPD,DSNP,Y,Renewal,Georgia/Gulf States,AETNA LIFE INSURANCE COMPANY,Aetna Medicare,35:34.4,35:34.4,AETH\A846534,AETH\A846534,0
5AF06507-C311-4A81-A1D2-0151E95149ED,2022,H4982,11,H4982011,AET,Aetna Medicare Plus Plan (HMO),MAPD,HMO,Commissionable,Renewal,California,AETNA BETTER HEALTH OF CALIFORNIA INC. ,Aetna Medicare,54:53.5,54:53.5,AETH\A393668,AETH\A393668,NULL
005A9CBD-10E8-4F20-A444-015CFF2C77B1,2021,H3288,24,H3288024,AET,Aetna Medicare Freedom Plan (PPO),MAPD,PPO,Commissionable,Renewal,Georgia/Gulf States,AETNA HEALTH AND LIFE INSURANCE COMPANY,Aetna Medicare,15:22.2,15:22.2,AETH\N270372,AETH\N270372,NULL
